Company,Category
Facebook,FAMANG
Amazon,FAMANG
Apple,FAMANG
Netflix,FAMANG
Microsoft,FAMANG
Google,FAMANG
Wow!Momo,Established StartUps
Ola Cabs,Established StartUps
Zomato,Established StartUps
Paytm,Established StartUps
RazorPay,Established StartUps
DailyHunt,Established StartUps
ShareChat,Established StartUps
Toppr,Established StartUps
Swiggy,Established StartUps
AirGarage,Established StartUps
AirTable,Established StartUps
Cron AI,Startups
Aadhar,Startups
Klub,Startups
Unacademy,Startups
Shuttl,Startups
Postman,Startups
Kisan Network,Startups
Instamojo,Startups
EasyDiner,Startups
DoorDash,Startups
Robinhood,Startups
Chime,Startups
TCS,Service
Infosys,Service
Wipro,Service
HCL,Service
Tech Mahindra,Service
Hexaware,Service
Hitachi,Service
McKesson,Service
IBM,Service
TekSystems,Service
Ciber,Service
Accenture,Service
Cisco,Service
Cognizant,Service
TeraData,Service
Algoworks,Service
BYJU's,Unicorn
Rivian,Unicorn
Stripe,Unicorn
Klarna,Unicorn
Bytedance,Unicorn
N26,Unicorn
Dream11,Unicorn
